symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-03-18 00:00:00+00:00,2.0,2.21,1.91,2.15,252891,1.8816901408,2.0792676056,1.7970140845,2.0228169014,252891,0.0,1.0
TCS,2020-03-19 00:00:00+00:00,2.32,2.33,1.93,1.99,326402,2.1827605634,2.1921690141,1.8158309859,1.8722816901,326402,0.0,1.0
TCS,2020-03-20 00:00:00+00:00,2.53,2.55,2.27,2.49,348347,2.3803380282,2.3991549296,2.1357183099,2.3427042254,348347,0.0,1.0
TCS,2020-03-23 00:00:00+00:00,2.47,2.62,2.38,2.62,181863,2.3238873239,2.4650140845,2.2392112676,2.4650140845,181863,0.0,1.0
TCS,2020-03-24 00:00:00+00:00,2.85,2.885,2.5101,2.59,243029,2.6814084507,2.7143380282,2.3616152113,2.4367887324,243029,0.0,1.0
TCS,2020-03-25 00:00:00+00:00,3.22,3.41,2.61,2.74,334207,3.0295211268,3.2082816901,2.4556056338,2.577915493,334207,0.0,1.0
TCS,2020-03-26 00:00:00+00:00,3.34,3.37,3.14,3.21,353041,3.34,3.37,3.14,3.21,353041,0.21,1.0
TCS,2020-03-27 00:00:00+00:00,3.18,3.33,3.04,3.19,219743,3.18,3.33,3.04,3.19,219743,0.0,1.0
TCS,2020-03-30 00:00:00+00:00,2.4,3.2,2.26,3.2,660579,2.4,3.2,2.26,3.2,660579,0.0,1.0
TCS,2020-03-31 00:00:00+00:00,2.36,2.49,2.3,2.41,268589,2.36,2.49,2.3,2.41,268589,0.0,1.0
TCS,2020-04-01 00:00:00+00:00,2.02,2.33,2.005,2.33,280234,2.02,2.33,2.005,2.33,280234,0.0,1.0
TCS,2020-04-02 00:00:00+00:00,2.12,2.14,1.985,2.02,208041,2.12,2.14,1.985,2.02,208041,0.0,1.0
TCS,2020-04-03 00:00:00+00:00,2.02,2.0837,1.93,2.07,133440,2.02,2.0837,1.93,2.07,133440,0.0,1.0
TCS,2020-04-06 00:00:00+00:00,2.18,2.41,2.11,2.21,545812,2.18,2.41,2.11,2.21,545812,0.0,1.0
TCS,2020-04-07 00:00:00+00:00,2.14,2.28,2.06,2.27,292408,2.14,2.28,2.06,2.27,292408,0.0,1.0
TCS,2020-04-08 00:00:00+00:00,2.3,2.39,2.09,2.09,269683,2.3,2.39,2.09,2.09,269683,0.0,1.0
TCS,2020-04-09 00:00:00+00:00,2.69,2.82,2.3301,2.38,483796,2.69,2.82,2.3301,2.38,483796,0.0,1.0
TCS,2020-04-13 00:00:00+00:00,2.5,2.64,2.29,2.61,342360,2.5,2.64,2.29,2.61,342360,0.0,1.0
TCS,2020-04-14 00:00:00+00:00,2.2,2.5201,2.15,2.5,392493,2.2,2.5201,2.15,2.5,392493,0.0,1.0
TCS,2020-04-15 00:00:00+00:00,2.04,2.22,2.02,2.2,390975,2.04,2.22,2.02,2.2,390975,0.0,1.0
TCS,2020-04-16 00:00:00+00:00,2.08,2.08,1.97,2.04,438910,2.08,2.08,1.97,2.04,438910,0.0,1.0
TCS,2020-04-17 00:00:00+00:00,2.14,2.27,2.02,2.17,327697,2.14,2.27,2.02,2.17,327697,0.0,1.0
